Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-09-2021 15:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
247,,,"ICRISAT Patancheru, Hyderabad - TSPCB",16.00
248,,,"IDA Pashamylaram, Hyderabad - TSPCB",67.00
249,,,"Sanathnagar, Hyderabad - TSPCB",23.00
250,,,"Zoo Park, Hyderabad - TSPCB",35.00
251,Tripura,Agartala,"Kunjaban, Agartala - Tripura SPCB",24.00
252,Uttar Pradesh,Agra,"Dharmapuri, Agra - UPPCB",176.00
253,,,"Manoharpur, Agra - UPPCB",19.00
254,,,"Rohta, Agra - UPPCB",No data available in Last 24 hour.
255,,,"Sanjay Palace, Agra - UPPCB",29.00
256,,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",35.00
257,,,"Shastripuram, Agra - UPPCB",57.00
258,,Baghpat,"New Collectorate, Baghpat - UPPCB",37.00
259,,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",61.00
260,,Firozabad,"Nagla Bhau, Firozabad - UPPCB",26.00
261,,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",60.00
262,,,"Loni, Ghaziabad - UPPCB",86.00
263,,,"Sanjay Nagar, Ghaziabad - UPPCB",33.00
264,,,"Vasundhara, Ghaziabad - UPPCB",65.00
265,,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",21.00
266,,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",44.00
267,,,"Knowledge Park - V, Greater Noida - UPPCB",64.00
268,,Hapur,"Anand Vihar, Hapur - UPPCB",65.00
269,,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",39.00
270,,,"IITK, Kanpur - IITK",42.00
271,,,"NSI Kalyanpur, Kanpur - UPPCB",43.00
272,,,"Nehru Nagar, Kanpur - UPPCB",66.00
273,,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",20.00
274,,,"Central School, Lucknow - CPCB",80.00
275,,,"Gomti Nagar, Lucknow - UPPCB",39.00
276,,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",32.00
277,,,"Lalbagh, Lucknow - CPCB",94.00
278,,,"Talkatora District Industries Center, Lucknow - CPCB",121.00
279,,Meerut,"Ganga Nagar, Meerut - UPPCB",31.00
280,,,"Jai Bhim Nagar, Meerut - UPPCB",43.00
281,,,"Pallavpuram Phase 2, Meerut - UPPCB",Insufficient data available in last 24 hours.
282,,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",141.00
283,,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",86.00
284,,Noida,"Sector - 125, Noida - UPPCB",87.00
285,,,"Sector - 62, Noida - IMD",91.00
286,,,"Sector-1, Noida - UPPCB",55.00
287,,,"Sector-116, Noida - UPPCB",50.00
288,,Prayagraj,"Jhunsi, Prayagraj - UPPCB",37.00
289,,,"Motilal Nehru NIT, Prayagraj - UPPCB",24.00
290,,,"Nagar Nigam, Prayagraj - UPPCB",17.00
291,,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",32.00
292,,,"Bhelupur, Varanasi - UPPCB",30.00
293,,,"IESD Banaras Hindu University, Varanasi - UPPCB",20.00
294,,,"Maldahiya, Varanasi - UPPCB",37.00
295,,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",25.00
296,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",46.00
297,,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",43.00
298,,Haldia,"Haldia, Haldia - WBPCB",32.00
299,,Howrah,"Belur Math, Howrah - WBPCB",43.00
300,,,"Ghusuri, Howrah - WBPCB",32.00
301,,,"Padmapukur, Howrah - WBPCB",Insufficient data available in last 24 hours.
302,,Kolkata,"Ballygunge, Kolkata - WBPCB",25.00
303,,,"Bidhannagar, Kolkata - WBPCB",26.00
304,,,"Fort William, Kolkata - WBPCB",No data available in Last 24 hour.
305,,,"Jadavpur, Kolkata - WBPCB",40.00
306,,,"Rabindra Bharati University, Kolkata - WBPCB",47.00
307,,,"Rabindra Sarobar, Kolkata - WBPCB",24.00
308,,,"Victoria, Kolkata - WBPCB",Insufficient data available in last 24 hours.
309,,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",40.00
